Designator,Mid X,Mid Y,Rotation,Layer
C1,163.5,-100.5,0.0,bottom
C2,150.0,-95.8,0.0,bottom
C3,158.1,-87.5,0.0,bottom
C4,158.1,-89.5,0.0,bottom
C5,158.1,-91.0,180.0,bottom
C6,159.5,-79.0,270.0,bottom
C7,161.0,-79.0,270.0,bottom
C8,140.5,-79.0,270.0,bottom
D1,138.0,-82.5,0.0,top
D10,146.0,-92.5,0.0,top
D11,146.0,-97.5,0.0,top
D12,154.0,-82.5,0.0,top
D13,154.0,-87.5,0.0,top
D14,154.0,-92.5,0.0,top
D15,154.0,-97.5,0.0,top
D16,158.0,-80.0,0.0,top
D17,158.0,-90.0,0.0,top
D18,158.0,-100.0,0.0,top
D19,162.0,-82.5,0.0,top
D2,138.0,-87.5,0.0,top
D20,162.0,-87.5,0.0,top
D21,162.0,-92.5,0.0,top
D22,162.0,-97.5,0.0,top
D23,150.0,-105.0,0.0,top
D24,133.8,-91.9,270.0,bottom
D3,138.0,-92.5,0.0,top
D4,138.0,-97.5,0.0,top
D5,142.0,-80.0,0.0,top
D6,142.0,-90.0,0.0,top
D7,142.0,-100.0,0.0,top
D8,146.0,-82.5,0.0,top
D9,146.0,-87.5,0.0,top
J1,168.0,-92.175,0.0,bottom
J2,132.0,-91.865,0.0,bottom
J3,150.0,-107.5,0.0,bottom
J4,158.865,-106.5,90.0,bottom
Q1,134.5,-94.5,180.0,bottom
R1,156.5,-94.5,180.0,bottom
R10,155.5,-101.0,180.0,bottom
R11,146.6,-101.0,180.0,bottom
R12,152.5,-101.0,0.0,bottom
R2,143.0,-95.0,0.0,bottom
R3,143.0,-93.5,0.0,bottom
R4,143.0,-91.7,0.0,bottom
R5,143.0,-90.0,0.0,bottom
R6,143.0,-88.5,0.0,bottom
R7,161.0,-82.0,90.0,bottom
R8,159.5,-82.0,90.0,bottom
R9,140.5,-82.0,90.0,bottom
SW1,150.0,-77.0,0.0,top
U1,150.0,-91.5,270.0,bottom
U2,162.0,-103.5,0.0,bottom
U3,157.5,-103.5,180.0,bottom
Y1,155.5,-88.5,270.0,bottom
